accuracy,f1,auc,log_loss,brier,mrr,top3_accuracy,top3_recall,top3_precision,season,race,phase,model
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.29532163742690054,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,British Grand Prix,mid,qualifying_baseline
1.0,1.0,1.0,0.08184524835879278,0.020556333340837535,0.611111111111111,1.0,1.0,1.0,2025,Belgian Grand Prix,mid,logistic
0.9,0.6666666666666666,0.9803921568627451,0.1108599593906531,0.02889735806955849,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Belgian Grand Prix,mid,random_forest
0.9,0.6666666666666666,0.9803921568627451,0.1619250290464253,0.043347446931911955,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Belgian Grand Prix,mid,xgboost
1.0,1.0,1.0,0.010050335853501452,0.00010000000000000011,0.611111111111111,1.0,1.0,1.0,2025,Belgian Grand Prix,mid,qualifying_baseline
0.9,0.6666666666666666,0.9803921568627451,0.1668954623440363,0.0550219049224843,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Hungarian Grand Prix,mid,logistic
0.9,0.6666666666666666,0.9803921568627451,0.17252854613781607,0.05597160874668222,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Hungarian Grand Prix,mid,random_forest
0.9,0.6666666666666666,0.9803921568627451,0.22648423067337595,0.06687774343067672,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Hungarian Grand Prix,mid,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.3611111111111111,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Hungarian Grand Prix,mid,qualifying_baseline
0.9,0.6666666666666666,0.9019607843137255,0.3239391105704108,0.10711249400266035,0.49206349206349204,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Dutch Grand Prix,mid,logistic
0.9,0.6666666666666666,0.9411764705882353,0.30932887706854456,0.10305171825965424,0.5111111111111111,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Dutch Grand Prix,mid,random_forest
0.9,0.6666666666666666,0.9019607843137254,0.34623106428103684,0.10838682821401184,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Dutch Grand Prix,mid,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5277777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Dutch Grand Prix,mid,qualifying_baseline
1.0,1.0,1.0,0.10388877415230446,0.02197923771077238,0.611111111111111,1.0,1.0,1.0,2025,Italian Grand Prix,mid,logistic
1.0,1.0,1.0,0.09606737257906807,0.019593767144443067,0.611111111111111,1.0,1.0,1.0,2025,Italian Grand Prix,mid,random_forest
1.0,1.0,1.0,0.1540573411120879,0.03834053095248914,0.611111111111111,1.0,1.0,1.0,2025,Italian Grand Prix,mid,xgboost
1.0,1.0,1.0,0.010050335853501452,0.00010000000000000011,0.611111111111111,1.0,1.0,1.0,2025,Italian Grand Prix,mid,qualifying_baseline
0.8,0.3333333333333333,0.8823529411764706,0.28258802205839945,0.0955795390007271,0.46428571428571425,0.3333333333333333,0.3333333333333333,0.3333333333333333,2025,Azerbaijan Grand Prix,late,logistic
0.9,0.6666666666666666,0.9215686274509803,0.2454877018869602,0.06829356429141493,0.5476190476190476,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Azerbaijan Grand Prix,late,random_forest
0.9,0.6666666666666666,0.9215686274509803,0.23738061676553518,0.06367672201171212,0.5476190476190476,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Azerbaijan Grand Prix,late,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Azerbaijan Grand Prix,late,qualifying_baseline
0.9,0.6666666666666666,0.9411764705882353,0.1938145138626564,0.06502700332689415,0.3611111111111111,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Singapore Grand Prix,late,logistic
0.9,0.6666666666666666,0.9411764705882353,0.23019172279748107,0.07683942093477039,0.5111111111111111,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Singapore Grand Prix,late,random_forest
0.9,0.6666666666666666,0.9215686274509803,0.2641491299734828,0.08594902318070345,0.3444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Singapore Grand Prix,late,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Singapore Grand Prix,late,qualifying_baseline
