driver,team,position,status,dnf_flag,race,race_order,dnf_rate,reliability
BEA,Haas F1 Team,10.0,finished,0.0,Las Vegas Grand Prix,21,0.013008755507280909,0.9869912444927191
BEA,Haas F1 Team,,retired,1.0,Qatar Grand Prix,22,0.008671924022844966,0.991328075977155
BEA,,,,0.0,Abu Dhabi Grand Prix,23,0.33914406266511504,0.660855937334885
BOR,Kick Sauber,18.0,finished,0.0,Bahrain Grand Prix,0,,
BOR,Kick Sauber,18.0,lapped,0.0,Saudi Arabian Grand Prix,1,0.0,1.0
BOR,Kick Sauber,,retired,1.0,Australian Grand Prix,2,0.0,1.0
BOR,Kick Sauber,19.0,finished,0.0,Japanese Grand Prix,3,0.47368421052631565,0.5263157894736843
BOR,Kick Sauber,14.0,lapped,0.0,Chinese Grand Prix,4,0.2769230769230769,0.7230769230769232
BOR,Kick Sauber,18.0,,0.0,Miami Grand Prix,5,0.17061611374407584,0.8293838862559242
BOR,Kick Sauber,18.0,finished,0.0,Emilia Romagna Grand Prix,6,0.10827067669172935,0.8917293233082706
BOR,Kick Sauber,14.0,lapped,0.0,Monaco Grand Prix,7,0.0699368625546382,0.9300631374453618
BOR,Kick Sauber,14.0,lapped,0.0,Canadian Grand Prix,8,0.045678033306899304,0.9543219666931007
BOR,Kick Sauber,12.0,finished,0.0,Spanish Grand Prix,9,0.030045381044285658,0.9699546189557143
BOR,Kick Sauber,8.0,lapped,0.0,Austrian Grand Prix,10,0.019853511417492475,0.9801464885825075
BOR,Kick Sauber,,retired,1.0,British Grand Prix,11,0.013158270464137443,0.9868417295358626
BOR,Kick Sauber,6.0,finished,0.0,Hungarian Grand Prix,12,0.34466051636025746,0.6553394836397426
BOR,Kick Sauber,9.0,finished,0.0,Belgian Grand Prix,13,0.22918031360587493,0.770819686394125
BOR,Kick Sauber,15.0,finished,0.0,Dutch Grand Prix,14,0.15252429150009914,0.8474757084999008
BOR,Kick Sauber,8.0,finished,0.0,Italian Grand Prix,15,0.10156649079755374,0.8984335092024462
BOR,Kick Sauber,11.0,finished,0.0,Azerbaijan Grand Prix,16,0.06765937235094847,0.9323406276490516
BOR,Kick Sauber,17.0,lapped,0.0,Singapore Grand Prix,17,0.045083334476017686,0.9549166655239824
BOR,Kick Sauber,18.0,lapped,0.0,United States Grand Prix,18,0.030045381044285658,0.9699546189557143
BOR,Kick Sauber,10.0,finished,0.0,Mexico City Grand Prix,19,0.020025734237089452,0.9799742657629106
BOR,Kick Sauber,,retired,1.0,Brazilian Grand Prix,20,0.013348481450111051,0.986651518549889
BOR,Kick Sauber,,retired,1.0,Las Vegas Grand Prix,21,0.3422982707195911,0.6577017292804088
BOR,Kick Sauber,13.0,finished,0.0,Qatar Grand Prix,22,0.5615614865833073,0.4384385134166927
BOR,,,,0.0,Abu Dhabi Grand Prix,23,0.37435764363011464,0.6256423563698854
COL,Alpine,16.0,finished,0.0,Emilia Romagna Grand Prix,6,,
COL,Alpine,13.0,lapped,0.0,Monaco Grand Prix,7,0.0,1.0
COL,Alpine,13.0,lapped,0.0,Canadian Grand Prix,8,0.0,1.0
COL,Alpine,15.0,finished,0.0,Spanish Grand Prix,9,0.0,1.0
COL,Alpine,15.0,lapped,0.0,Austrian Grand Prix,10,0.0,1.0
COL,Alpine,,did not start,1.0,British Grand Prix,11,0.0,1.0
COL,Alpine,18.0,lapped,0.0,Hungarian Grand Prix,12,0.3654135338345864,0.6345864661654136
COL,Alpine,19.0,finished,0.0,Belgian Grand Prix,13,0.23603691112190384,0.7639630888780962
COL,Alpine,11.0,finished,0.0,Dutch Grand Prix,14,0.1541633624107851,0.8458366375892149
COL,Alpine,17.0,lapped,0.0,Italian Grand Prix,15,0.10140316102446406,0.8985968389755359
COL,Alpine,19.0,lapped,0.0,Azerbaijan Grand Prix,16,0.06700560103403708,0.9329943989659629
COL,Alpine,16.0,lapped,0.0,Singapore Grand Prix,17,0.04440916281646384,0.9555908371835362
